epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,5567.33,1.02459,0.46867,1.19446,0.85067,0.86796,0.8827,0.40427,2.06367,0.75775,2.17947,0.000305478,0.000305478,0.000305478
167,5599.75,1.01479,0.47163,1.18716,0.87593,0.86845,0.88581,0.39359,2.08534,0.74831,2.2223,0.000297226,0.000297226,0.000297226
168,5632.2,0.98582,0.45622,1.15894,0.85366,0.88649,0.88048,0.4045,2.04457,0.74558,2.20155,0.000288974,0.000288974,0.000288974
169,5665.12,1.0223,0.46605,1.17251,0.87419,0.88214,0.89138,0.41769,2.01297,0.74264,2.18485,0.000280723,0.000280723,0.000280723
170,5698.69,1.0194,0.46624,1.19309,0.88034,0.87126,0.88457,0.409,2.02181,0.72964,2.1979,0.000272471,0.000272471,0.000272471
171,5732.56,1.00646,0.46485,1.17895,0.90267,0.84904,0.88615,0.40165,2.04871,0.77308,2.22058,0.00026422,0.00026422,0.00026422
172,5767.98,0.99918,0.46158,1.15067,0.85436,0.88468,0.88311,0.39891,2.05466,0.73828,2.22839,0.000255968,0.000255968,0.000255968
173,5802.5,1.00613,0.4698,1.18231,0.88044,0.88783,0.90093,0.41054,2.04205,0.74378,2.23668,0.000247716,0.000247716,0.000247716
174,5839.27,0.9852,0.46431,1.16676,0.85969,0.88402,0.8906,0.40848,2.04203,0.76272,2.2066,0.000239465,0.000239465,0.000239465
175,5874.78,1.01971,0.46498,1.1759,0.89215,0.86053,0.88665,0.4037,2.02935,0.744,2.20408,0.000231213,0.000231213,0.000231213
176,5909.27,0.97178,0.45802,1.15227,0.90381,0.85469,0.89438,0.40676,2.05083,0.75542,2.26013,0.000222961,0.000222961,0.000222961
177,5944.16,0.97721,0.46171,1.16885,0.87509,0.86686,0.88355,0.40048,2.03734,0.75974,2.24092,0.00021471,0.00021471,0.00021471
178,5981.36,0.99565,0.46113,1.16355,0.88732,0.84498,0.88408,0.39851,2.04679,0.74971,2.23251,0.000206458,0.000206458,0.000206458
179,6018.18,0.96346,0.44604,1.15067,0.87178,0.84921,0.88724,0.394,2.07154,0.76503,2.24556,0.000198206,0.000198206,0.000198206
